journal_title,paper_count,abstract_rate,doi_rate
Anglican Theological Review,72,0.3055555555555556,1.0
Archiv für Reformationsgeschichte - Archive for Reformation History,21,0.0,1.0
Asia Pacific Education Review,72,0.25,1.0
Biblical Interpretation,26,0.8461538461538461,1.0
Biblical Theology Bulletin: Journal of Bible and Culture,37,0.5945945945945946,1.0
Biblische Zeitschrift,26,0.5,1.0
Black Theology,26,0.0,1.0
Catholic Biblical Quarterly,2,0.0,1.0
Christian bioethics: Non-Ecumenical Studies in Medical Morality,16,1.0,1.0
Church History,116,0.10344827586206896,1.0
Currents in Biblical Research,14,0.5714285714285714,1.0
Dead Sea Discoveries,37,0.40540540540540543,1.0
Early Christianity,33,0.8181818181818182,1.0
Ecclesiology,26,0.34615384615384615,1.0
Ethical Theory and Moral Practice,53,0.5660377358490566,1.0
Evangelische Theologie,62,0.0,1.0
Exchange,31,0.5161290322580645,1.0
Feminist Theology,33,0.6060606060606061,1.0
Harvard Theological Review,43,0.813953488372093,1.0
History of Religions,23,0.0,1.0
Indiana International &amp; Comparative Law Review,6,0.5,1.0
International Journal of Precision Engineering and Manufacturing-Green Technology,136,0.17647058823529413,1.0
International Journal of Public Theology,36,0.5833333333333334,1.0
International Journal of Systematic Theology,79,0.569620253164557,1.0
International Review of Mission,12,0.6666666666666666,1.0
Interpretation: A Journal of Bible and Theology,54,0.37037037037037035,1.0
Irish Theological Quarterly,104,0.17307692307692307,1.0
Islam and Christian–Muslim Relations,22,0.0,1.0
Journal for the Study of the Historical Jesus,12,0.5833333333333334,1.0
Journal for the Study of the New Testament,59,0.7966101694915254,1.0
Journal for the Study of the Old Testament,47,0.5531914893617021,1.0
Journal of Biblical Literature,38,0.9736842105263158,1.0
Journal of Early Christian Studies,58,0.3620689655172414,1.0
Journal of Empirical Theology,23,0.9130434782608695,1.0
Journal of Pentecostal Theology,20,0.8,1.0
Journal of Reformed Theology,37,0.3783783783783784,1.0
Journal of Religion in Africa,17,0.5882352941176471,1.0
Journal of Religious Ethics,26,0.8461538461538461,1.0
Kerygma und Dogma,19,0.0,1.0
Missiology: An International Review,116,0.25862068965517243,1.0
Modern Theology,97,0.5051546391752577,1.0
Neue Zeitschrift für Systematische Theologie und Religionsphilosophie,40,0.825,1.0
New Testament Studies,22,0.7727272727272727,1.0
Novum Testamentum,36,0.6666666666666666,1.0
Pastoral Psychology,96,0.22916666666666666,1.0
Pastoraltheologie,80,0.0,1.0
Political Theology,93,0.0,1.0
Popular Music History,17,1.0,1.0
Postcolonial Studies,22,0.0,1.0
Practical Theology,66,0.0,1.0
Pro Ecclesia: A Journal of Catholic and Evangelical Theology,2,0.5,1.0
Scottish Journal of Theology,96,0.28125,1.0
Scrinium,18,0.8888888888888888,1.0
Spiritus: A Journal of Christian Spirituality,60,0.38333333333333336,1.0
Studia Liturgica,13,0.8461538461538461,1.0
Studia Theologica - Nordic Journal of Theology,13,0.0,1.0
Studies in Christian Ethics,65,0.38461538461538464,1.0
The Ecumenical Review,23,0.7391304347826086,1.0
The Journal of Ecclesiastical History,187,0.18181818181818182,1.0
The Journal of Modern History,229,0.0,1.0
The Journal of Theological Studies,98,0.336734693877551,1.0
Theologische Rundschau,25,0.92,1.0
Theology Today,61,0.5901639344262295,1.0
Theology and Science,84,0.0,1.0
Toronto Journal of Theology,42,0.30952380952380953,1.0
Tyndale Bulletin,10,0.8,1.0
Verkündigung und Forschung,1,0.0,1.0
Vetus Testamentum,47,0.9361702127659575,1.0
Vigiliae Christianae,34,0.5,1.0
Zeitschrift für Antikes Christentum / Journal of Ancient Christianity,27,0.5185185185185185,1.0
Zeitschrift für Evangelische Ethik,48,0.0,1.0
Zeitschrift für Theologie und Kirche,23,0.9565217391304348,1.0
Zeitschrift für die alttestamentliche Wissenschaft,32,0.5625,1.0
Zeitschrift für die neutestamentliche Wissenschaft,16,0.75,1.0
Zygon: Journal of Religion and Science,95,0.8526315789473684,1.0
