doi,title,abstract,published_year,journal_title,issn_list,publisher,authors,subject,ref_count,source,region,confession,subfield_tags,method_tags,era_tags
10.1007/s10677-024-10475-8,Digital Blackface and Its Argumentative Implications,"<jats:title>Abstract</jats:title>
          <jats:p>While much has been written regarding the harms of Digital Blackface, within this paper I argue that Digital Blackface is harmful on an argumentative level, as opposed to merely socio-political. My position is that the usage of Black GIFs/memes should be curtailed by non-Black and non-users of African American Argumentation (AAA). Rather than offering socio-political reasons members of these groups ought not to use Digital Blackface, I utilize the Pragma-Dialectical model of argumentation. My argument hinges on Black GIFs/memes utilized by non-Blacks and non-AAA users violating two Pragma-Dialectical rules: 1 – the starting point rule and 2 – the usage rule.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Tempest M. Henning'],[],84.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-024-10480-x,Doing Away with Skepticism about Harm,"<jats:title>Abstract</jats:title>
          <jats:p>The concept of <jats:italic>harm</jats:italic> plays a central role in many philosophical discussions. There are numerous ethical theories, claims, and arguments that appeal to the concept of harm. However, some philosophers think that the concept of harm is not fit to play this role in philosophical theorizing. Bradley (2012) argues that the concept is problematic to such an extent that we should do away with it. Bradley is not the only philosopher who doubts this concept’s usefulness, although others make more modest and suggestive skeptical claims. In this paper, I examine several claims in support of skepticism, which are explicitly embraced or hinted to in the literature. Some examples are the claims <jats:italic>that the harm concept is defective</jats:italic> and <jats:italic>that harm is morally insignificant</jats:italic>. Neither those claims nor others, I argue, yield a good case for skepticism about harm.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Anna Folland'],[],38.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10481-4,Conceptual Mediation in Technomoral Change: Reply to Danaher and Sætra,"<jats:title>Abstract</jats:title>
          <jats:p>Philosophers of technology have identified various mechanisms through which technology can change moral norms, values, beliefs and practices. Danaher and Sætra (2023) offer a useful systematization of these mechanisms, with no claim to being exhaustive. We contribute to their work by analyzing how the mediating role of moral concepts fits into this scheme. First, we point out that concepts mediate the moral effects of technological changes, a process we call conceptual mediation. We illustrate this with the concepts of ‘brain death’ and ‘reproductive autonomy’, whose moral implications crystallized in the interplay with new medical technologies. Subsequently, we argue that conceptual mediation is best understood as a type of second-order mediation, which channels the moral implications of the first-order technological mediations identified by Danaher and Sætra (decisional, relational, perceptual). We conclude that second-order mediation plays a central and underappreciated role in processes of technomoral change.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Jeroen K.G. Hopster' 'Jon Rueda' 'Robin Hillenbrink'],[],1.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10482-3,"György Márkus, János Kis, and György Bence: How Is Critical Economic Theory Possible? Translated by John Grumley and János Kis. Leiden: Brill, 2022. Hardback (ISBN 978-90-04-51847-6) € 167.48. 296 pp.",,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Akos Forczek'],[],0.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10483-2,Diachronic or Counterfactual? Temporal Well-Being and Changing Attitudes,"<jats:title>Abstract</jats:title>
                  <jats:p>In his paper “Wellbeing and Changing Attitudes Across Time”, Krister Bykvist investigates the challenge that changing attitudes pose for attitude-sensitive theories of well-being in determining temporal wellbeing. He offers both a useful tool to investigate the conceptual space of possible answers, namely an attitudinal matrix, as well as a seemingly plausible constraint on such an answer, which he terms ‘diagonalism’. This paper draws on his matrix to provide an argument against diagonalism and offer an error theory regarding its intuitive force. Using his matrix, I sketch my own view of temporal well-being according to which it is not a single unified concept, but can rather be understood in two different ways (‘better for’ vs. ‘better off’), both of which are interesting in their own right.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Marina Moreno'],[],5.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10484-1,Fitting Love and Uniqueness,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Xian He'],[],44.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10485-0,"Mark Coeckelbergh: Why AI Undermines Democracy and What To Do About It Cambridge: Polity Press, 2024. Paperback (978-1-5095-6092-9), $22.95. 144 Pages",,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['William Chan'],[],0.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10486-z,"A Value-Free, Diversity-Sensitive Measure of Freedom","<jats:title>Abstract</jats:title>
                  <jats:p>Numerous philosophers and economists have argued that the extent of one’s freedom depends in part on how diverse one’s options are. However, such efforts have met resistance from political philosophers who regard diversity-sensitive measures of freedom as objectionably value-laden. I present a new way of incorporating diversity considerations in the measure of freedom that is scrupulously value-neutral. It is also quite successful in capturing common intuitions about freedom and diversity: in particular, it is sensitive to the degree of dissimilarity between extremal and non-extremal options.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Nicolas Côté'],[],36.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10487-y,Thinking Functionally About Moral Assertion,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Shannon Brick'],[],37.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10488-x,Gabriele Badano and Alasia Nuti: Politicising Political Liberalism. On the Containment of Illiberal and Antidemocratic Views,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Ludvig Beckman'],[],0.0,crossref,en,Philosophy/Ethics,,,
