journal_title,keywords
ZThK,"dogmatics;systematic theology;fundamental theology;dogmatik;systematische theologie;grundlagentheologie"
EvTh,"protestant theology;evangelical theology;public theology;evangelische theologie;oeffentliche theologie"
KuD,"kerygma;homiletics;preaching;verkuendigung;predigtlehre;dogma"
NZSTh,"religionsphilosophy;systematic theology;religionsphilosophie;theologische anthropologie"
ThR,"theological review;systematic review;theologische rundschau"
ZAW,"old testament;hebrew bible;masoretic;septuagint;altes testament;hebraeische bibel"
ZNW,"new testament;pauline;synoptic;neues testament;paulinisch"
BZ,"biblische zeitschrift;biblical studies;exegesis;exegese"
BN,"biblische notizen;biblical notes;textual criticism;textkritik"
ZABR,"ancient near eastern law;biblical law;altorientalisches recht;biblisches recht"
Early Christianity,"early christianity;apostolic;patristic;fruehchristentum"
ARG,"reformation;luther;calvin;reformationsgeschichte"
ZAC,"late antiquity;patristic;antikes christentum;spaetantike"
ZEE,"ethical theology;evangelical ethics;sozialethik;ethik"
V&F,"preaching;homiletics;verkuendigung;homiletik;pastoral"
PTh,"practical theology;pastoral;religionspaedagogik;praktische theologie"
KZG,"contemporary church history;zeitgeschichte;kirchliche zeitgeschichte"
Modern Theology,"systematic theology;doctrine;modernity"
SJT,"systematic theology;dogmatics;reformed"
JTS,"historical theology;patristic;textual criticism"
IJST,"systematic theology;global theology;constructive theology"
JBL,"biblical literature;bible;exegesis"
JSOT,"old testament;hebrew bible;ot exegesis"
JSNT,"new testament;nt exegesis;pauline"
VT,"vetus testamentum;hebrew bible"
NTS,"new testament studies;nt criticism"
NovT,"novum testamentum;nt scholarship"
CBQ,"catholic biblical;biblical studies;exegesis"
Dead Sea Discoveries,"qumran;dead sea scrolls"
Biblical Interpretation,"hermeneutics;biblical interpretation"
BTB,"biblical theology"
Currents in Biblical Research,"state of the field;methodology"
JECS,"early christian studies;patristics"
Journal of Ecclesiastical History,"church history;ecclesiastical"
Vigiliae Christianae,"late antiquity;early christian"
Church History,"church history;american church history;historical theology"
HTR,"religion;theology;biblical studies"
Interpretation,"preaching;biblical interpretation"
Pro Ecclesia,"ecumenical;ecclesiology"
Journal of Reformed Theology,"reformed;calvin;reformed dogmatics"
Studia Theologica,"systematic theology;dogmatics"
Tyndale Bulletin,"biblical studies;evangelical scholarship"
Anglican Theological Review,"anglican;liturgy;ecclesiology"
Ecclesiology,"ecclesiology;church polity"
Studia Liturgica,"liturgy;worship studies"
