journal_title,issn_print,issn_online,region,confession
ARG,0003-9381,2198-0489,de,Protestant
Anglican Theological Review,0003-3286,2834-4065,en,Anglican
Asian Journal of Theology,0217-6491,,asia,Ecumenical
BN,0178-2967,2628-5762,de,Academic
BTB,0146-1079,1945-4473,en,Academic
BZ,0006-2014,2589-0468,de,Catholic
Biblical Interpretation,0927-2569,1568-5152,nl,Academic
CBQ,0008-7912,2329-0129,en,Catholic
Christian Bioethics,1353-3363,1744-4195,en,Bioethics
Church History,0009-6407,1755-2613,en,Academic
Crucible: The Christian Journal of Social Ethics,0011-2100,,en,Ethics
Currents in Biblical Research,1476-993X,1745-5200,en,Academic
Dead Sea Discoveries,0929-0761,1568-5179,nl,Academic
Early Christianity,1868-7032,1868-8020,de,Academic
Ecclesiology,1744-1366,1745-5316,nl,Academic
Ethical Theory and Moral Practice,1386-2820,1572-8447,en,Philosophy/Ethics
EvTh,0014-3502,2198-0470,de,Protestant
Exchange: Journal of Missiological and Ecumenical Research,0166-2740,1572-543X,nl,Mission
Feminist Theology,0966-7350,1744-487X,en,Feminist
Harvard Theological Review,0017-8160,1475-4517,en,Academic
History of Religions,0018-2710,1537-5358,en,History
IJST,1463-1652,1468-2400,en,Protestant
International Journal of Public Theology,1872-5171,1569-7320,nl,Public Theology
International Review of Mission,0020-8582,1758-6631,en,Mission
Interpretation,0020-9643,2159-3280,en,Academic
Irish Theological Quarterly,0021-1400,1753-3112,ie,Catholic
Islam and Christian–Muslim Relations,0959-6410,1469-9311,en,Interreligious
JBL,0021-9231,1934-3876,en,Academic
JECS,1067-6341,1086-3184,en,Academic
JSNT,0142-064X,1745-5294,en,Academic
JSOT,0309-0892,1476-6728,en,Academic
JTS,0022-5185,1477-4607,en,Academic
Journal for the Study of the Historical Jesus,1476-8690,1745-5197,en,Academic
Journal of Analytic Theology,2169-3226,2169-3226,en,Analytic
Journal of Black Theology,1476-9948,1743-1646,en,Black Theology
Journal of Ecclesiastical History,0022-0469,1469-7637,en,Academic
Journal of Empirical Theology,0922-2936,1570-0666,nl,Practical
Journal of Pentecostal Theology,0966-7369,1745-5251,en,Pentecostal
Journal of Reformed Theology,1569-7312,1872-5163,nl,Reformed
Journal of Religious Ethics,0384-9694,1467-9795,en,Ethics
KZG,0932-8149,2198-0810,de,Protestant
Korean Journal of Christian Studies,1598-1037,2733-4708,ko,Academic
KuD,0023-0707,2196-8020,de,Protestant
Louvain Studies,0024-6875,1783-1628,be,Catholic
Methodist Review,1946-5254,1946-5254,en,Methodist
Missiology,0091-8296,1930-7497,en,Mission
Modern Theology,0266-7177,1468-0025,en,Academic
NTS,0028-6885,1469-8145,en,Academic
NZSTh,0028-3517,1612-9520,de,Protestant
NovT,0048-1009,1568-5365,nl,Academic
PTh,2195-2833,2197-0831,de,Protestant
Pastoral Psychology,0031-2789,1573-6679,en,Practical
Philosophy & Theology,0890-2461,2153-6333,en,Academic
Political Theology,1462-317X,1743-1719,en,Political
Postcolonial Studies,1368-8790,1466-1888,en,Postcolonial
Practical Theology,1756-073X,1756-0748,en,Practical
Pro Ecclesia,1063-8512,2513-9096,en,Ecumenical
Public Theology,2364-7736,2365-2233,de,Public Theology
Scottish Journal of Theology,0036-9306,1475-3065,en,Reformed
Scrinium,1817-7530,1817-7565,en,Patristic
Social Ethics Society Journal of Applied Philosophy,2467-5997,2467-5997,ph,Ethics
Spiritus,1533-1709,1535-3117,en,Spirituality
Studia Liturgica,0039-3207,2398-3329,en,Academic
Studia Theologica,0039-338X,1502-7791,no,Academic
Studies in Christian Ethics,0953-9468,1745-5235,en,Ethics
ThR,0040-5698,1868-727X,de,Protestant
The Ecumenical Review,0013-0796,1758-6623,en,Ecumenical
Theological Thought,1227-2515,,ko,Academic
Theology Today,0040-5736,2044-2556,en,Ecumenical
Theology and Philosophy,1229-4535,,ko,Academic
Theology and Science,1474-6700,1474-6719,en,Science
Toronto Journal of Theology,0826-9831,1918-6371,ca,Academic
Transformation: An International Journal of Holistic Mission Studies,0265-3710,1759-1589,en,Evangelical
Tyndale Bulletin,0082-7118,2752-7042,en,Evangelical
V&F,0178-2568,2197-2265,de,Protestant
VT,0042-4935,1568-5330,nl,Academic
Vigiliae Christianae,0042-6032,1570-0720,nl,Academic
ZABR,1432-8356,2510-4446,de,Academic
ZAC,0949-9571,1612-961X,de,Academic
ZAW,0044-2526,1613-0103,de,Academic
ZEE,0044-2674,2197-2273,de,Protestant
ZNW,0044-2615,1613-009X,de,Academic
ZThK,0044-3549,1868-7377,de,Protestant
Zygon,0591-2385,1467-9744,en,Science
구약논단,,,ko,Academic
기독교교육논총,,,ko,Academic
기독교사회윤리,,,ko,Academic
목회와상담,,,ko,Academic
선교신학,,,ko,Academic
성경원문연구,,,ko,Academic
신학과 실천,,,ko,Academic
신학논단,,,ko,Academic
장신논단,,,ko,Academic
한국교회사학회지,,,ko,Academic
한국기독교신학논총,,,ko,Academic
한국조직신학논총,,,ko,Academic
